etablissement,longitude,latitude
Collège Champolion,45.186293328588256,5.726771657597654
Collège Vercors,45.17838390673544,5.743655911644172
Collège Charles Munch,45.17428636002982,5.736695102920237
Collège Lycée Charmilles,45.17623260316133,5.727768581524063
Collège Les Saules,45.16370188213564,5.745836742805425
Collège Henri Wallon,45.17846631392192,5.765234476607989
Collège Notre Dame de Sion,45.16926924853514,5.708929550172227
Collège Olympique,45.16394395285887,5.728327283974791
Collège Fantin-Latour,45.188212698215274,5.713673649302841
Lycée Stendhal,45.191463439884984, 5.730303108314061
Lycée Internation Europole,45.19668904037129,5.710808953167388
Lycée Pierre Termier,45.190444603662726,5.735935216052955
Lycée André Argouges,45.177269161069425,5.74600999778968
Lycée Pablo Neruda,45.17581454221224,5.760940096026031
Lycée Vaucanson,45.174017608793356,5.70741023161765
Lycée Lesdiguières,45.16939666249586,5.708988209480029
Lycée Louise Michele,45.17050914679554,5.70668193414271
Lycée Emmanuel Mounier,45.18103388438839,5.7315654312032915
Lycée George Guynemer,45.17273405020764,5.731686814115782
CNRS,45.20668812652531,5.699471846274851
Université de Grenoble,45.178103034502676,5.710007713855882
UFR STAPS,45.198605096335584,5.776965932982995
Faculté de Droit,45.189901614252925, 5.772168621551632
UFR PhiTem,45.19385790748382,5.759409814553325
Faculté de medecine,45.203927231061186,5.745732373281301
