parc,longitude,latitude,rayon
Parc des Champs-Elysées,45.16485485322789,5.706227651711425,100
Parc de la Savane,45.1773291160381,5.705897717798766,50
Parc Waldek Rousseau,45.18393609400656,5.709229366984096,25
Parc Marliave,45.187202801072864,5.708843128921656,25
Parc Paul Valérien Perrin,45.18402683850267, 5.713950054644025,25
Parc Georges Pompidou,45.17782563874595,5.719743625850396,100
Parc de l’alliance,45.17383231366122,5.724035159877512,10
Parc Jean Verlhac,45.16424943367377,5.735651010243887,150
Jardin Hoche,45.18478303612786,5.728455440544327,50
Jardin de ville,45.19294933098055, 5.726781742245985,50
Parc Paul Mistral,45.1860231786053, 5.73652352479301,200
Parc Soulage,45.17604077803037,5.738969699366988,25
Parc Ouagadougou,45.17349952387263,5.742481781096455,25
Parc des Sports,45.154114368791575,5.729603320790263,250
Parc Maison Neuves,45.160244268199015,5.74898308437756,50
Parc Condé,45.179185776762644,5.7436241118051425,50
Parc Jo Blanchon,45.17550673221359,5.75831166689781,100
Robert Ruffier-Lanche,45.193918651141814,5.778439391303371,25
